Security Name: EC-Share Index,
Date, Market Index
 29 June 2018,149.92
 2 July 2018,149.92
 5 July 2018,151.99
 6 July 2018,151.99
 6 July 2018,151.99
 9 July 2018,151.99
 10 July 2018,151.99
 11 July 2018,151.99
 12 July 2018,151.99
 17 July 2018,151.99
 19 July 2018,151.48
 20 July 2018,151.48
 20 July 2018,151.48
 24 July 2018,151.48
 25 July 2018,151.48
 26 July 2018,151.48
 27 July 2018,152.71
 31 July 2018,152.71
 1 August 2018,152.71
 3 August 2018,152.71
 8 August 2018,152.71
 10 August 2018,152.71
 14 August 2018,152.71
 15 August 2018,152.71
 16 August 2018,152.71
 17 August 2018,152.71
 21 August 2018,153.22
 22 August 2018,153.22
 24 August 2018,153.22
 28 August 2018,153.22
 29 August 2018,153.22
 30 August 2018,153.22
 31 August 2018,153.22
 3 September  2018,154.19
 7 September  2018,154.19
 11 September  2018,154.19
 13 September  2018,154.19
 14 September  2018,154.19
 18 September  2018,154.19
 20 September  2018,154.19
 25 September  2018,154.19
 26 September  2018,154.19
 28 September  2018,154.19
 28 September  2018,154.19
 1 October  2018,154.19
 2 October  2018,154.19
 3 October  2018,154.19
 5 October  2018,154.19
 8 October  2018,154.19
 10 October  2018,153.22
 11 October  2018,153.22
 11 October  2018,153.22
 12 October  2018,153.22
 26 October  2018,153.22
 30 October  2018,153.22
 30 October  2018,153.22
 31 October  2018,153.22
 1 November  2018,154.55
 2 November  2018,154.55
 5 November  2018,154.55
 5 November  2018,154.55
 6 November  2018,153.63
 8 November  2018,153.63
 9 November  2018,153.63
 13 November  2018,153.63
 19 November  2018,153.63
 26 November  2018,153.63
 27 November  2018,153.63
 28 November  2018,153.63
 28 November  2018,153.63
 29 November  2018,152.47
 30 November  2018,152.47
 3 December 2018,152.47
 5 December 2018,152.47
 6 December 2018,152.47
 12 December 2018,152.1
 14 December 2018,152.1
 18 December 2018,152.1
 21 December 2018,152.1
 24 December 2018,152.1
 28 December 2018,152.47
 31 December 2018,152.47
 4 January 2019,152.47
 7 January 2019,152.47
 10 January 2019,150.34
 11 January 2019,150.34
 15 January 2019,150.34
 16 January 2019,150.34
 18 January 2019,150.34
 22 January 2019,150.34
 25 January 2019,150.34
 28 January 2019,150.34
 29 January 2019,150.34
 1 February 2019,150.34
 5 February 2019,150.34
 7 February 2019,150.34
 8 February 2019,150.34
 13 February 2019,150.34
 15 February 2019,150.34
 22 February 2019,150.34
 27 February 2019,150.34
 1 March 2019,150.34
 4 March 2019,150.34
 14 March 2019,150.34
 15 March 2019,150.34
 21 March 2019,150.34
 22 March 2019,150.34
 25 March 2019,150.34
 27 March 2019,150.34
 29 March 2019,150.34
 4 April 2019,150.16
 5 April 2019,150.16
 12 April 2019,149.79
 15 April 2019,149.79
 18 April 2019,149.53
 23 April 2019,149.53
 24 April 2019,149.53
 29 April 2019,149.53
 30 April 2019,149.59
 3 May 2019,149.59
 8 May 2019,149.59
 9 May 2019,149.59
 13 May 2019,148.96
 15 May 2019,148.96
 17 May 2019,148.94
 21 May 2019,148.94
 23 May 2019,148.94
 24 May 2019,150.72
 6 June 2019,150.72
 21 June 2019,149.03
 24 June 2019,149.03
 25 June 2019,149.03
 26 June 2019,149.03
 27 June 2019,149.03
 28 June 2019,149.03
 2 July 2019,149.03
 5 July 2019,149.03
 9 July 2019,149.07
 12 July 2019,150.23
 19 July 2019,149.07
 25 July 2019,149.7
 26 July 2019,149.7
 30 July 2019,149.7
 2 August 2019,149.7
 30 August 2019,150.86
 3 September 2019,149.59
 6 September 2019,149.59
 13 September 2019,149.93
 18 September 2019,149.93
 20 September 2019,149.93
 23 September 2019,149.93
 27 September 2019,148.68
